ticket_id,airline_flight,name,gender,dob,dop,dod,is_adult,from,to,distance,num_stops,has_loyalty,price_tier,price
IDXX42675,Adonis\AS-622,Mr. Matthew Silverman,M,1996-12-26,2021-01-04,2021-02-05,1,American Samoa,Rwanda,17186.74,1,0,2,3841.32
IDZZ58036,Omega\OG-145,Mr. Ronald Hadley,M,2019-03-31,2021-08-01,2022-02-04,0,Ecuador,Martinique,2634.28,2,0,1,349.29
IDZZ61035,Omega\OG-807,Mr. Fred Diaz,M,1982-05-07,2021-02-12,2021-07-30,1,Laos,Gambia,12283.85,1,0,2,1876.97
IDZZ68270,Omega\OG-977,Ms. Anissa Colson,F,2007-03-16,2021-07-13,2022-06-23,0,Western Sahara,Solomon Islands,18255.04,2,0,1,1281.12
IDYY61797,Calisto\CS-743,Ms. Irene Jackson,F,2010-03-01,2021-03-09,2021-09-21,0,Gaza Strip,Comoros,4919.4,2,0,1,
IDYY56390,Calisto\CS-295,Mr. Kyle Stigall,M,2007-01-26,2021-03-20,2021-04-04,0,Nauru,Saint Vincent and the Grenadines,14542.23,2,0,3,3675.23
IDXX91628,Adonis\AS-652,Ms. Gladys Hooks,F,1996-09-19,2021-09-07,2021-11-30,1,Slovakia,Georgia,1967.05,0,0,2,
IDYY42546,Calisto\CS-911,Ms. Hattie Duggar,F,2013-05-31,2021-10-06,2022-01-29,0,Saint Pierre and Miquelon,Mauritius,13451.48,1,0,2,
IDXX19112,Adonis\AS-627,Ms. Elizabeth Tomlin,F,2011-11-24,2021-01-24,2021-08-12,0,Senegal,Swaziland,6746.12,1,0,1,
IDZZ73354,Omega\OG-190,Ms. Whitney Saunders,F,1986-06-14,2021-05-23,2021-06-28,1,Sri Lanka,Brazil,14829.55,2,1,2,1877.42
IDYY53768,Calisto\CS-085,Mr. Jason Lowrie,M,2015-01-05,2021-12-07,2022-01-06,0,Fiji,Seychelles,13430.55,1,0,2,2446.89
IDXX23199,Adonis\AS-773,Ms. Tricia Flowers,F,1993-06-09,2021-08-14,2021-12-01,1,Monaco,Montserrat,7110.43,2,1,2,1543.81
IDYY11765,Calisto\CS-706,Ms. Patrice Pape,F,2000-08-10,2021-09-08,2021-12-14,1,Venezuela,Micronesia,15634.29,1,0,2,2919.46
IDZZ13431,Omega\OG-738,Ms. Cynthia Hardcastle,F,1998-07-26,2021-03-28,2021-04-15,1,Réunion,Bahamas,15220.59,1,0,2,2245.91
IDYY99047,Calisto\CS-539,Ms. Delores Donovan,F,1984-07-21,2021-01-02,2021-08-04,1,Palestinian Territories,Guinea-Bissau,5609.63,0,0,1,986.37
IDZZ09349,Omega\OG-842,Ms. Connie Vasquez,F,2013-01-29,2021-04-28,2021-05-19,0,Indonesia,Cuba,17402.77,2,1,2,2046.04
IDZZ34754,Omega\OG-001,Mr. Daniel Borja,M,2014-02-04,2021-02-07,2021-12-09,0,Jordan,Bahrain,1502.48,2,1,1,250.28
IDXX46811,Adonis\AS-456,Mr. Duane Arellano,M,2017-05-30,2021-03-03,2021-05-01,0,Gaza Strip,Greece,1421.63,1,0,3,
IDZZ29494,Omega\OG-321,Ms. Loraine Simon,F,2011-08-27,2021-12-06,2022-07-11,0,Ethiopia,Sweden,5960.12,0,1,1,689.64
IDXX38874,Adonis\AS-261,Mr. Stevie Eastman,M,1997-10-17,2021-07-25,2022-06-23,1,Gibraltar,Albania,2278.36,0,1,1,645.01
IDYY66542,Calisto\CS-825,Ms. Donna Dahle,F,1997-12-05,2021-10-23,2022-01-17,1,Barbados,Malaysia,17221.66,1,1,2,
IDXX77375,Adonis\AS-342,Ms. Kimberly Cieslik,F,1988-02-20,2021-11-01,2022-02-26,1,Lesotho,Bouvet Island,3403.6,2,1,2,886.31
IDZZ93374,Omega\OG-289,Mr. Charles Lara,M,1992-10-13,2021-02-08,2021-03-04,1,Ethiopia,Suriname,10663.42,1,0,2,
IDYY91961,Calisto\CS-882,Mr. Jesus Remmick,M,1995-05-06,2021-08-03,2022-02-28,1,Bahamas,Timor-Leste,16997.4,1,0,1,1776.73
IDXX31819,Adonis\AS-558,Mr. Raymond Bennett,M,1985-10-16,2021-05-28,2022-04-02,1,Martinique,Mongolia,13025.37,2,0,2,2907.01
IDXX14759,Adonis\AS-081,Ms. Beverly Gonzalez,F,1990-12-22,2021-10-25,2022-02-26,1,Saudi Arabia,Afghanistan,2465.02,2,1,2,
IDZZ07897,Omega\OG-522,Ms. Antoinette Lamb,F,1990-11-15,2021-09-26,2022-03-03,1,Grenada,Myanmar [Burma],15511.66,1,0,2,
IDXX71845,Adonis\AS-414,Ms. Regina Kellogg,F,2006-07-19,2021-02-27,2021-11-29,0,Anguilla,Uruguay,5701.93,1,0,1,866.13
IDZZ82483,Omega\OG-768,Ms. Ruby Phillips,F,1988-07-31,2021-03-17,2021-10-10,1,Falkland Islands [Islas Malvinas],Niue,9678.33,2,0,2,1462.6
IDYY60656,Calisto\CS-406,Mr. Raymond Christensen,M,2003-03-07,2021-02-16,2021-09-16,1,Iraq,Monaco,3338.52,2,0,1,558.18
IDYY06067,Calisto\CS-133,Ms. Wendy Cummings,F,1983-08-14,2021-11-17,2022-08-30,1,Spain,Netherlands,1470.72,2,1,1,377.11
IDYY27377,Calisto\CS-327,Mr. Benny Littleton,M,2018-09-15,2021-03-14,2021-07-14,0,Guam,Malta,12464.11,2,1,2,1948.86
IDYY19581,Calisto\CS-677,Mr. Steven Mcentee,M,2017-10-27,2021-11-09,2021-11-23,0,Netherlands,Singapore,10480.59,2,0,2,1851.45
IDXX00959,Adonis\AS-854,Mr. Francis Nemeth,M,2008-04-20,2021-12-04,2022-04-10,0,Guinea,Costa Rica,8102.64,1,0,2,
IDXX95272,Adonis\AS-687,Ms. Lori Wood,F,2020-08-18,2021-05-01,2021-11-16,0,Portugal,Netherlands Antilles,6661.02,2,1,1,783.17
IDXX75901,Adonis\AS-733,Mr. Miguel Ritter,M,1980-12-09,2021-03-05,2021-04-05,1,Tanzania,Saint Helena,5183.38,0,1,2,
IDZZ26184,Omega\OG-081,Ms. Diane Castro,F,2017-05-19,2021-04-21,2022-03-10,0,Hungary,Guam,11378.09,1,1,1,
IDXX38279,Adonis\AS-860,Ms. Betty Render,F,2006-06-06,2021-06-21,2021-07-15,0,Luxembourg,Faroe Islands,1565.56,2,1,2,474.92
IDXX57535,Adonis\AS-961,Ms. Marsha Phillips,F,2002-09-02,2021-09-08,2021-10-17,1,Denmark,Macedonia [FYROM],1854.59,2,1,3,769.08
IDZZ77522,Omega\OG-061,Mr. Michael Carlson,M,1991-01-20,2021-05-18,2021-11-22,1,Kuwait,Bhutan,4186.52,0,1,1,
IDZZ60993,Omega\OG-686,Mr. Michael Baca,M,1998-10-08,2021-07-29,2021-10-23,1,Lithuania,Moldova,917.89,0,1,2,556.45
IDYY89036,Calisto\CS-632,Ms. Nicole Cravens,F,1994-07-22,2021-01-15,2021-07-21,1,Italy,Djibouti,4434.98,0,0,1,888.83
IDYY50367,Calisto\CS-877,Ms. Lea Melancon,F,1987-07-01,2021-07-24,2021-10-29,1,Laos,Bhutan,1494.7,0,1,2,
IDZZ58559,Omega\OG-970,Ms. Lenora Hockenberry,F,2016-06-30,2021-08-10,2022-01-12,0,Saint Helena,Nepal,11647.71,2,1,2,1427.72
IDZZ29184,Omega\OG-944,Mr. Alexander Roberts,M,2000-11-17,2021-09-02,2022-08-10,1,Canada,Niger,9817.67,2,0,1,899.14
IDXX45654,Adonis\AS-931,Ms. Roseann Lawalin,F,2010-10-24,2021-02-13,2021-09-06,0,Papua New Guinea,Ghana,16165.6,1,0,1,1911.15
IDYY06303,Calisto\CS-391,Ms. Caitlin Henson,F,2013-07-15,2021-08-23,2022-02-01,0,Timor-Leste,Senegal,15657.08,1,1,2,2519.31
IDZZ64000,Omega\OG-901,Mr. Brandon Davis,M,1988-07-19,2021-05-28,2021-06-11,1,American Samoa,Belgium,15974.33,1,0,2,2327.89
IDYY84947,Calisto\CS-514,Mr. Danny Burroughs,M,1981-03-08,2021-10-24,2022-04-10,1,Japan,Bolivia,16942.77,1,1,2,2825.99
IDXX92808,Adonis\AS-343,Ms. Joan Herrera,F,1996-07-16,2021-10-25,2022-06-27,1,Poland,Guinea,5352.12,1,1,1,851.03
IDZZ97591,Omega\OG-292,Ms. Frances Ward,F,1981-04-17,2021-09-20,2021-10-30,1,Kenya,Nepal,5846.42,1,0,3,
IDYY68689,Calisto\CS-724,Ms. Lynn Jackson,F,1994-07-31,2021-07-29,2022-01-17,1,French Polynesia,Afghanistan,15931.39,1,0,2,2974.28
IDYY66335,Calisto\CS-619,Ms. Joanna Harvey,F,1990-12-05,2021-12-31,2022-07-16,1,United Kingdom,Indonesia,11778.15,2,1,2,1964.61
IDYY31040,Calisto\CS-029,Ms. Kimberly Barberio,F,2021-06-29,2021-06-27,2021-10-02,0,South Africa,Madagascar,2745.06,0,0,2,
IDYY37994,Calisto\CS-522,Mr. Mark Hebrank,M,1984-05-17,2021-05-12,2021-06-06,1,South Korea,Malaysia,4409.59,2,0,3,
IDZZ98074,Omega\OG-730,Ms. Sandy Zuniga,F,1988-06-24,2021-07-30,2022-02-17,1,Hong Kong,São Tomé and Príncipe,11806.85,2,1,1,910.86
IDXX60557,Adonis\AS-409,Ms. Tonya Heckman,F,1986-10-30,2021-12-23,2022-01-13,1,Mexico,Senegal,9188.59,0,0,2,2341.78
IDZZ32927,Omega\OG-717,Mr. Kelvin Jordan,M,1995-02-08,2021-08-25,2021-11-28,1,Gambia,Sweden,5887.05,2,0,2,1002.61
IDXX67451,Adonis\AS-046,Ms. Julie Frantz,F,2002-02-10,2021-01-21,2021-05-20,1,Netherlands Antilles,Central African Republic,9862.97,0,0,2,2466.5
IDZZ27799,Omega\OG-631,Ms. Winifred Geisinsky,F,1990-02-08,2021-03-14,2021-04-30,1,Western Sahara,Bermuda,5116.15,1,1,2,929.41
IDYY90238,Calisto\CS-729,Mr. Carlos Rodney,M,2007-08-08,2021-12-27,2022-03-16,0,French Southern Territories,Saint Lucia,14059.17,2,0,2,2438.85
IDZZ02858,Omega\OG-274,Mr. Gerald Hatcher,M,1996-01-23,2021-10-09,2021-11-12,1,Suriname,Benin,6472.64,2,1,2,
IDYY95988,Calisto\CS-027,Mr. Benjamin Jones,M,2009-07-21,2021-10-12,2022-05-08,0,Barbados,Moldova,8786.08,2,1,2,
IDZZ90922,Omega\OG-899,Mr. Perry Barrera,M,2014-05-07,2021-05-13,2021-11-21,0,Gibraltar,Belgium,1782.24,2,0,2,401.41
IDZZ16898,Omega\OG-945,Mr. Mark Myers,M,1994-02-03,2021-11-12,2022-02-08,1,Bangladesh,American Samoa,11601.7,1,0,2,1795.2
IDYY08647,Calisto\CS-846,Ms. Sylvia Bishop,F,2010-10-06,2021-02-17,2021-09-09,0,Togo,Hong Kong,11990.31,1,1,1,1137.11
IDXX13272,Adonis\AS-971,Ms. Charlotte Lee,F,1993-06-27,2021-01-02,2021-11-27,1,Libya,Vietnam,9431.92,0,1,2,2157.97
IDZZ13322,Omega\OG-885,Ms. Patricia Woodworth,F,2003-03-24,2021-11-18,2022-08-02,1,Slovenia,Suriname,8248.06,1,0,1,906.73
IDYY03056,Calisto\CS-116,Mr. Jason Zinner,M,2005-10-21,2021-09-02,2022-05-03,1,Wallis and Futuna,Egypt,16787.66,1,1,1,1586.54
IDYY97667,Calisto\CS-109,Mr. Michael Colpitts,M,2020-06-11,2021-12-08,2022-07-10,0,Georgia,Congo [DRC],5602.18,2,1,2,975.71
IDXX14632,Adonis\AS-838,Mr. Matthew Salgado,M,1987-07-20,2021-01-13,2021-11-10,1,Andorra,Belize,8743.26,0,1,1,
IDZZ40783,Omega\OG-481,Mr. Gilbert Robinett,M,1982-10-31,2021-12-01,2022-01-29,1,Mexico,Mozambique,15665.36,2,1,3,
IDXX78492,Adonis\AS-219,Mr. Brett Ellis,M,2005-05-18,2021-11-03,2021-11-21,1,Slovenia,Bangladesh,7041.27,0,1,3,2360.59
IDZZ55895,Omega\OG-814,Mr. Steven Struck,M,1980-06-26,2021-05-28,2022-02-06,1,Saint Helena,Papua New Guinea,15624.88,1,0,2,
IDZZ46300,Omega\OG-939,Ms. Amiee Pellerin,F,1983-10-14,2021-04-02,2021-06-08,1,Tuvalu,Antigua and Barbuda,13495.59,2,0,2,
IDZZ98363,Omega\OG-343,Ms. Rachel Thomas,F,1989-06-20,2021-11-06,2022-03-11,1,Guernsey,Honduras,8284.36,0,0,2,1516.09
IDXX33762,Adonis\AS-220,Ms. France Bankard,F,1995-11-01,2021-04-17,2021-11-12,1,Trinidad and Tobago,Nigeria,7650.71,1,0,1,
IDYY63584,Calisto\CS-247,Ms. Leslie Cox,F,1993-11-29,2021-08-07,2022-04-12,1,Palestinian Territories,Christmas Island,8843.73,1,0,1,
IDYY74946,Calisto\CS-756,Ms. Jenny Gibson,F,1988-09-29,2021-03-04,2021-05-03,1,Cyprus,Martinique,9482.24,2,1,2,1634.15
IDXX64302,Adonis\AS-908,Ms. Mary Pimental,F,1985-10-02,2021-02-15,2021-03-14,1,Saint Helena,Belize,9677.72,0,1,3,3077.53
IDZZ29610,Omega\OG-264,Ms. Heather Estrello,F,2007-04-13,2021-05-02,2021-10-15,0,Angola,Belarus,7288.83,0,0,2,1288.47
IDXX61333,Adonis\AS-494,Ms. Tara Reny,F,1991-03-02,2021-10-17,2021-12-26,1,Puerto Rico,Vietnam,16399.97,2,0,2,3575.87
IDYY12787,Calisto\CS-477,Ms. Shelley Lopez,F,1981-02-27,2021-03-27,2022-02-08,1,Uzbekistan,Ukraine,2724.56,1,1,1,569.69
IDZZ80195,Omega\OG-848,Mr. Gary Lewis,M,2001-05-10,2021-04-27,2021-09-23,1,Angola,Peru,10131.94,1,1,2,1467.99
IDXX38154,Adonis\AS-282,Ms. Kathleen Vaughan,F,1986-09-02,2021-09-18,2021-12-25,1,Cameroon,Ethiopia,3104.94,1,1,2,912.97
IDXX29399,Adonis\AS-840,Ms. Helen Dunn,F,2012-03-01,2021-08-25,2021-10-01,0,Namibia,Nigeria,3723.5,2,0,2,
IDZZ88664,Omega\OG-902,Mr. Toby Espinoza,M,1999-05-30,2021-10-05,2022-08-10,1,Canada,Djibouti,11942.53,2,1,1,922.26
IDXX86545,Adonis\AS-691,Ms. Samara Neal,F,2010-06-08,2021-10-13,2022-10-06,0,French Guiana,Isle of Man,7102.57,1,1,1,
IDXX26965,Adonis\AS-537,Mr. Charles Bunda,M,1987-11-10,2021-11-05,2022-10-06,1,Argentina,New Caledonia,11671.16,1,0,1,1566.2
IDYY15063,Calisto\CS-830,Mr. Justin Jennings,M,2012-10-24,2021-05-14,2021-10-27,0,Portugal,Albania,2408.5,1,1,2,623.17
IDXX09723,Adonis\AS-936,Ms. Julia Alcala,F,1986-12-27,2021-11-14,2022-07-19,1,Monaco,Seychelles,7221.75,2,0,1,1027.99
IDYY35979,Calisto\CS-545,Mr. James Berrios,M,2013-10-25,2021-01-22,2021-09-01,0,Uzbekistan,Gaza Strip,2915.37,1,1,1,
IDYY09461,Calisto\CS-432,Mr. Kevin Garrell,M,1981-02-19,2021-06-22,2022-05-18,1,Bolivia,Cuba,4485.05,0,0,1,
IDYY13448,Calisto\CS-529,Mr. Michael Burns,M,1990-07-09,2021-08-13,2021-10-04,1,Sierra Leone,Sri Lanka,10168.23,2,1,2,
IDXX70974,Adonis\AS-243,Mr. Arthur Grove,M,2007-07-15,2021-02-07,2021-12-30,0,Trinidad and Tobago,Cook Islands,11325.29,2,1,1,1196.87
IDYY01824,Calisto\CS-040,Ms. Maria Rouse,F,1991-10-23,2021-05-25,2021-09-02,1,South Africa,Georgia,8377.62,2,1,2,
IDXX42299,Adonis\AS-674,Ms. Emily Garden,F,2000-02-04,2021-06-23,2021-12-02,1,Oman,Bermuda,11335.96,2,0,2,2559.15
IDZZ86525,Omega\OG-295,Ms. Camille Mccan,F,2005-03-31,2021-01-05,2021-08-04,1,Gambia,Sierra Leone,675.57,0,1,1,504.23
IDXX80129,Adonis\AS-047,Ms. Carmen Laboy,F,1994-12-25,2021-10-28,2021-11-23,1,Andorra,Denmark,1628.18,0,0,2,
IDXX18287,Adonis\AS-366,Mr. James Kerns,M,2012-04-08,2021-10-22,2022-07-22,0,Timor-Leste,Afghanistan,7751.34,0,1,1,
IDYY53934,Calisto\CS-692,Mr. Alfred Lewis,M,1996-03-01,2021-06-07,2021-10-31,1,Slovakia,Pitcairn Islands,16125.81,1,0,2,2990.03
IDYY98068,Calisto\CS-236,Mr. Joseph Allen,M,1994-08-08,2021-10-14,2022-01-18,1,Thailand,Romania,7683.11,0,1,2,1587.67
IDZZ35095,Omega\OG-293,Ms. Latasha Shipp,F,1983-05-01,2021-01-09,2021-09-26,1,Bhutan,Ethiopia,5614.57,1,0,2,
IDYY81660,Calisto\CS-531,Ms. Jennifer Agan,F,1987-11-22,2021-08-01,2022-07-03,1,Niue,United States,9961.2,1,0,2,
IDXX71082,Adonis\AS-643,Mr. Donald Pinegar,M,2004-06-26,2021-10-11,2022-02-17,1,Micronesia,Benin,16052.12,2,1,2,
IDXX79161,Adonis\AS-318,Ms. Jeannine Veyna,F,1995-01-28,2021-02-28,2021-10-16,1,Czech Republic,Namibia,8106.62,0,0,2,2116.13
IDYY34214,Calisto\CS-849,Mr. Fred Smith,M,2005-05-19,2021-04-13,2022-01-08,1,Belarus,Syria,2275.26,1,0,2,792.14
IDZZ49359,Omega\OG-315,Ms. Jane Reeser,F,2019-04-07,2021-11-16,2021-12-09,0,Zimbabwe,Germany,8023.39,2,1,2,1036.24
IDYY99687,Calisto\CS-847,Mr. Jeremy Dominguez,M,1994-05-16,2021-08-02,2022-01-31,1,Saint Helena,Indonesia,13387.26,2,0,1,1372.27
IDXX20144,Adonis\AS-012,Mr. Julius Freeman,M,1992-10-17,2021-10-18,2022-04-19,1,Australia,Saint Pierre and Miquelon,17466.53,2,0,1,2045.77
IDYY73099,Calisto\CS-140,Mr. William Kocieda,M,2019-04-07,2021-10-05,2022-01-02,0,Isle of Man,Chile,11879.62,1,0,2,2200.55
IDYY37289,Calisto\CS-454,Mr. Alvin Kroells,M,2014-03-26,2021-07-07,2022-02-01,0,Chad,Réunion,5721.29,0,0,1,874.18
IDXX21076,Adonis\AS-571,Mr. Melvin Wall,M,1997-05-25,2021-01-01,2021-02-02,1,Isle of Man,Pakistan,6302.72,0,1,2,1588.2
IDZZ22524,Omega\OG-846,Mr. Eugene Turner,M,1996-02-27,2021-11-11,2022-02-06,1,Morocco,Paraguay,8225.51,1,0,2,1401.88
IDXX32265,Adonis\AS-726,Mr. Curtis Mcneese,M,2004-05-29,2021-09-29,2022-05-06,1,Tajikistan,Nicaragua,13781.6,1,1,1,1595.83
IDZZ71181,Omega\OG-986,Ms. Diana Vix,F,1991-10-22,2021-02-11,2021-06-08,1,Hungary,Maldives,7093.57,1,0,2,
IDYY48394,Calisto\CS-399,Mr. Clint Brown,M,1988-12-17,2021-01-31,2021-06-02,1,Cameroon,Kazakhstan,6825.99,0,0,2,1631.21
IDZZ60223,Omega\OG-243,Mr. Scott Dudenhoeffer,M,1998-11-24,2021-08-07,2022-05-03,1,Micronesia,Guernsey,13187.62,1,0,1,
IDXX25567,Adonis\AS-400,Mr. Allen Choate,M,1983-04-29,2021-07-06,2021-10-16,1,Andorra,Iceland,2810.75,2,0,2,
IDZZ94682,Omega\OG-628,Ms. Shannon Alves,F,1987-07-02,2021-08-05,2022-01-25,1,Azerbaijan,Senegal,6616.16,1,0,2,
IDZZ06961,Omega\OG-712,Mr. Eli Calderon,M,2021-07-26,2021-10-02,2022-05-23,0,Mongolia,Cuba,12422.98,1,0,1,1046.88
IDXX20303,Adonis\AS-227,Mr. David Howard,M,1995-01-08,2021-05-22,2022-02-17,1,Falkland Islands [Islas Malvinas],Haiti,7974.96,0,1,1,1176.7
IDXX56748,Adonis\AS-414,Ms. Dawn Parsons,F,2010-06-09,2021-11-05,2022-03-18,0,Sri Lanka,Tokelau,12052.34,1,1,2,
IDZZ33416,Omega\OG-377,Mr. Jerry Pearce,M,2021-11-15,2021-10-18,2022-09-12,0,Puerto Rico,Tunisia,7646.53,1,1,1,
IDYY51525,Calisto\CS-556,Ms. Bettie Toms,F,1996-05-21,2021-01-12,2021-09-20,1,Oman,Cocos [Keeling] Islands,5837.05,1,1,1,804.65
IDXX10948,Adonis\AS-906,Ms. Elizabeth Hutchins,F,2018-11-19,2021-11-26,2022-05-16,0,Niue,Hong Kong,9464.96,1,0,2,
IDZZ47687,Omega\OG-606,Ms. Joyce Redington,F,1984-11-22,2021-08-14,2022-04-20,1,Tunisia,New Caledonia,17277.3,1,1,1,1295.96
IDXX29130,Adonis\AS-773,Mr. Shawn Duhart,M,2009-09-27,2021-02-17,2021-06-17,0,Liberia,British Virgin Islands,6124.57,0,1,2,1466.67
IDXX04204,Adonis\AS-235,Ms. Tyler Shor,F,1993-05-18,2021-01-04,2021-04-04,1,Western Sahara,South Korea,12168.12,2,0,2,
IDZZ95658,Omega\OG-416,Ms. Kazuko Harness,F,2001-05-17,2021-01-14,2021-09-17,1,Micronesia,Mayotte,11863.15,1,0,1,1118.36
IDYY05526,Calisto\CS-942,Ms. Carol Goodwin,F,1997-03-30,2021-12-31,2022-07-20,1,Mauritius,Bahamas,15401.5,1,1,1,
IDYY42498,Calisto\CS-403,Mr. Loren Rothery,M,1987-04-27,2021-01-15,2021-02-11,1,Indonesia,Ethiopia,8213.03,2,0,2,1605.75
IDXX64812,Adonis\AS-750,Ms. Margaret Beattie,F,2006-01-08,2021-07-15,2022-06-26,1,Christmas Island,South Georgia and the South Sandwich Islands,11995.3,1,0,2,2797.2
IDZZ41827,Omega\OG-538,Ms. Geraldine Estevez,F,1994-11-25,2021-11-16,2022-11-02,1,Netherlands Antilles,French Guiana,1982.42,0,0,1,642.63
IDXX41740,Adonis\AS-586,Ms. Marybeth Coston,F,2014-01-21,2021-09-05,2022-01-27,0,Sweden,Anguilla,7810.46,1,0,2,1865.41
IDXX61592,Adonis\AS-934,Ms. Morgan Williams,F,1997-03-02,2021-08-04,2022-01-31,1,Fiji,Qatar,14600.26,1,0,1,1862.06
IDYY54246,Calisto\CS-495,Ms. Mary Ewell,F,1991-03-02,2021-06-25,2021-09-17,1,Japan,Kuwait,8210.49,2,0,2,
IDZZ53794,Omega\OG-027,Mr. Bobby Cox,M,2000-06-26,2021-08-08,2021-09-27,1,Micronesia,Lithuania,11512.8,1,0,2,1795.1
IDXX26378,Adonis\AS-628,Mr. Arthur Swirsky,M,2002-01-30,2021-08-15,2022-03-22,1,Togo,Mozambique,4872.62,2,1,1,711.41
IDXX79426,Adonis\AS-668,Ms. Jung Sakkinen,F,1992-12-08,2021-08-29,2022-01-11,1,Kenya,Panama,13173.87,1,1,2,
IDXX05492,Adonis\AS-760,Mr. Darrell Dekany,M,1997-01-15,2021-02-01,2021-06-06,1,Mauritania,Guam,15373.57,1,1,2,3125.7
IDXX22908,Adonis\AS-881,Ms. Yvette Lu,F,2015-03-02,2021-10-29,2022-10-26,0,Wallis and Futuna,Argentina,11017.86,2,1,1,1167.33
IDYY18782,Calisto\CS-398,Mr. Brent Hills,M,2001-05-10,2021-09-25,2022-08-24,1,Micronesia,Netherlands Antilles,15138.17,1,1,1,1465.4
IDYY38170,Calisto\CS-170,Mr. Eric Hurst,M,1993-09-09,2021-01-10,2021-01-20,1,Hong Kong,Papua New Guinea,4559.57,0,0,2,1269.41
IDYY60518,Calisto\CS-172,Mr. Ronald Snyder,M,2000-01-13,2021-02-28,2022-02-20,1,Burundi,Jersey,6618.77,2,0,2,1365.23
IDYY42262,Calisto\CS-576,Mr. Leonard Bond,M,2003-11-01,2021-07-21,2021-12-28,1,Peru,Ghana,8423.15,0,1,2,1703.65
IDYY91225,Calisto\CS-333,Mr. Oscar Allen,M,1995-07-08,2021-08-04,2021-12-31,1,French Polynesia,Maldives,15116.7,2,1,2,2446.01
IDZZ99954,Omega\OG-865,Ms. Della Burke,F,2019-10-09,2021-09-03,2022-02-10,0,Cook Islands,Chad,19374.42,2,0,2,2521.15
IDYY09764,Calisto\CS-300,Ms. Emily Rogers,F,2013-08-20,2021-02-14,2021-07-27,0,Tokelau,Bouvet Island,12966.66,1,1,2,2136.88
IDXX49147,Adonis\AS-606,Ms. Rebecca Vides,F,2017-12-28,2021-06-13,2021-08-01,0,Isle of Man,Tuvalu,14787.37,2,0,3,4631.6
